,Date,Open,High,Low,Close
0,2017-01-02,1.05133,1.05239,1.04496,1.04539
1,2017-01-03,1.04554,1.04896,1.03397,1.04055
2,2017-01-04,1.04053,1.0499,1.03894,1.0488
3,2017-01-05,1.0488,1.06148,1.04798,1.06056
4,2017-01-06,1.0604,1.06207,1.05242,1.05309
5,2017-01-09,1.05289,1.05824,1.05103,1.05708
6,2017-01-10,1.05738,1.06266,1.05501,1.05539
7,2017-01-11,1.05537,1.06224,1.04531,1.05824
8,2017-01-12,1.05798,1.06842,1.0570700000000002,1.06112
9,2017-01-13,1.06129,1.06726,1.05956,1.06405
10,2017-01-16,1.06269,1.06349,1.05788,1.05998
11,2017-01-17,1.06001,1.0719,1.05965,1.07118
12,2017-01-18,1.07102,1.07146,1.06282,1.0629
13,2017-01-19,1.0629,1.06762,1.05886,1.06617
14,2017-01-20,1.06623,1.07091,1.06246,1.07
15,2017-01-23,1.0693,1.07684,1.0693,1.07639
16,2017-01-24,1.07643,1.07742,1.072,1.0731700000000002
17,2017-01-25,1.07285,1.07693,1.07108,1.07471
18,2017-01-26,1.0752,1.07649,1.06569,1.06805
19,2017-01-27,1.06814,1.07245,1.06578,1.06963
20,2017-01-30,1.07143,1.07396,1.06196,1.06958
21,2017-01-31,1.06923,1.08118,1.06841,1.07968
22,2017-02-01,1.07953,1.08069,1.07282,1.0768
23,2017-02-02,1.07675,1.08282,1.07554,1.07564
24,2017-02-03,1.07578,1.07971,1.0709799999999998,1.07847
25,2017-02-06,1.07899,1.079,1.07048,1.07495
26,2017-02-07,1.07433,1.07487,1.06557,1.06815
27,2017-02-08,1.06768,1.07134,1.06403,1.06979
28,2017-02-09,1.06957,1.07093,1.06505,1.06554
29,2017-02-10,1.06561,1.06673,1.06073,1.06401
30,2017-02-13,1.06328,1.06582,1.0591700000000002,1.0596
31,2017-02-14,1.0597,1.0633,1.05604,1.05786
32,2017-02-15,1.05775,1.06089,1.0521,1.05982
33,2017-02-16,1.06008,1.06788,1.05904,1.0674
34,2017-02-17,1.0671,1.06762,1.0605,1.06125
35,2017-02-20,1.06062,1.06326,1.06026,1.06102
36,2017-02-21,1.06111,1.06153,1.05253,1.05355
37,2017-02-22,1.05382,1.05738,1.04933,1.05571
38,2017-02-23,1.05597,1.05946,1.05372,1.05813
39,2017-02-24,1.05813,1.06175,1.05565,1.05593
40,2017-02-27,1.05611,1.063,1.05516,1.0586799999999998
41,2017-02-28,1.05872,1.06298,1.05674,1.05758
42,2017-03-01,1.05739,1.0588799999999998,1.05138,1.0546799999999998
43,2017-03-02,1.05453,1.0550700000000002,1.04944,1.05059
44,2017-03-03,1.04993,1.06233,1.04975,1.06208
45,2017-03-06,1.06041,1.06397,1.05741,1.05809
46,2017-03-07,1.0583,1.06021,1.05575,1.05657
47,2017-03-08,1.05654,1.05737,1.05343,1.0541200000000002
48,2017-03-09,1.05376,1.06146,1.05247,1.05764
49,2017-03-10,1.05743,1.06986,1.05719,1.06721
50,2017-03-13,1.06826,1.0714,1.0651700000000002,1.06534
51,2017-03-14,1.06532,1.0662,1.05995,1.0608
52,2017-03-15,1.06077,1.07395,1.06042,1.07359
53,2017-03-16,1.0736,1.07735,1.07049,1.07715
54,2017-03-17,1.07704,1.07819,1.07267,1.0737
55,2017-03-20,1.07374,1.07768,1.07246,1.07361
56,2017-03-21,1.07364,1.08187,1.07185,1.0806
57,2017-03-22,1.0806,1.08241,1.07753,1.07924
58,2017-03-23,1.07919,1.0804200000000002,1.07676,1.0782200000000002
59,2017-03-24,1.07813,1.0817,1.07598,1.07967
60,2017-03-27,1.08276,1.09051,1.08266,1.08619
61,2017-03-28,1.08616,1.08721,1.07979,1.08146
62,2017-03-29,1.08095,1.0826,1.0739,1.07654
63,2017-03-30,1.07645,1.07691,1.06711,1.0673
64,2017-03-31,1.06748,1.07014,1.06504,1.06509
65,2017-04-03,1.06607,1.06807,1.06418,1.0669
66,2017-04-04,1.06683,1.06766,1.0635,1.06724
67,2017-04-05,1.0671,1.06885,1.06333,1.06627
68,2017-04-06,1.06624,1.06836,1.06283,1.06428
69,2017-04-07,1.06441,1.06658,1.05798,1.0588799999999998
70,2017-04-10,1.05882,1.0606,1.05689,1.05945
71,2017-04-11,1.05965,1.06294,1.0578,1.06041
72,2017-04-12,1.06051,1.06744,1.0587799999999998,1.06654
73,2017-04-13,1.06625,1.06771,1.06086,1.06126
74,2017-04-14,1.06149,1.0629,1.06054,1.06098
75,2017-04-17,1.06104,1.0669799999999998,1.06025,1.06427
76,2017-04-18,1.06479,1.07355,1.06368,1.0729
77,2017-04-19,1.07277,1.07364,1.06991,1.07105
78,2017-04-20,1.07087,1.0777,1.07081,1.07156
79,2017-04-21,1.07165,1.07375,1.06817,1.07239
80,2017-04-24,1.0895,1.09039,1.082,1.08664
81,2017-04-25,1.08673,1.09495,1.0850799999999998,1.0925
82,2017-04-26,1.09303,1.09502,1.08549,1.09034
83,2017-04-27,1.0903200000000002,1.09322,1.08511,1.08732
84,2017-04-28,1.08703,1.09469,1.08561,1.0893700000000002
